Дата,Карьеры,Юридическое лицо,Наименование материала,Контакт,Цена,Ед.изм.,Насыпная плотность,Модуль крупности,Коэфициент фильтрации,Фракция,Марка прочности,Коэфициент морозостойкости,Геолокация,Транспорт,График
17.03.2025,Техноресурс,"ООО ""Техноресурс""",Гравий сеяный,89254176918,"р.1 500,00",тн,"1,5",-,-,5/20,,,"56.505470, 38.599438",Тонары + Одиночки,24 х 7
17.03.2025,Техноресурс,"ООО ""Техноресурс""",Гравий мытый,89254176918,"р.1 600,00",тн,"1,5",-,,5/20,,,"56.505470, 38.599438",Тонары + Одиночки,24 х 7
17.03.2025,Техноресурс,"ООО ""Техноресурс""",Гравий,89254176918,"р.935,00",тн,"1,5",-,-,20/40,,,"56.505470, 38.599438",Тонары + Одиночки,24 х 7
17.03.2025,Техноресурс,"ООО ""Техноресурс""",Сеяный песок,89254176918,"р.340,00",тн,"1,55","2,3",,,-,-,"56.505470, 38.599438",Тонары + Одиночки,24 х 7
17.03.2025,Техноресурс,"ООО ""Техноресурс""",Мытый песок,89254176918,"р.430,00",тн,"1,65","2,5",,,-,-,"56.505470, 38.599438",Тонары + Одиночки,24 х 7
17.03.2025,Техноресурс,"ООО ""Техноресурс""",Гравийный щебень сеяный,89254176918,"р.1 700,00",тн,"1,4",-,-,5/20,,,"56.505470, 38.599438",Тонары + Одиночки,24 х 7
17.03.2025,Техноресурс,"ООО ""Техноресурс""",Гравийный щебень мытый,89254176918,"р.1 800,00",тн,"1,4",-,-,5/20,,,"56.505470, 38.599438",Тонары + Одиночки,24 х 7
17.03.2025,Техноресурс,"ООО ""Техноресурс""",ЩПС С5,89254176918,"р.1 407,00",тн,"1,6",-,-,,,,"56.505470, 38.599438",Тонары + Одиночки,24 х 7
17.03.2025,Техноресурс,"ООО ""Техноресурс""",Гравийный щебень сеяный,89254176918,"р.1 700,00",тн,"1,4",-,-,20/40,,,"56.505470, 38.599438",Тонары + Одиночки,24 х 7
17.03.2025,Техноресурс,"ООО ""Техноресурс""",ПГС природный (30%камня),89254176918,"р.340,00",тн,"1,6",-,-,,,,"56.505470, 38.599438",Тонары + Одиночки,24 х 7
17.03.2025,Агат,"ООО ""Агат""",Сеяный песок,89629589585,"р.280,00",тн,"1,55","2,3",,,-,-,"56.551780, 38.812145",Тонары + Одиночки,24 х 7
17.03.2025,Агат,"ООО ""Агат""",Мытый песок,89629589585,"р.370,00",тн,"1,65","2,3",,,-,-,"56.551780, 38.812145",Тонары + Одиночки,24 х 7
17.03.2025,Агат,"ООО ""Агат""",Мытый песок,89629589585,"р.420,00",тн,"1,62","2,8",,,-,-,"56.551780, 38.812145",Тонары + Одиночки,24 х 7
17.03.2025,Агат,"ООО ""Агат""",Отсев щебня,89629589585,"р.280,00",тн,"1,6",,-,,,,"56.551780, 38.812145",Тонары + Одиночки,24 х 7
17.03.2025,Агат,"ООО ""Агат""",Гравий сеяный мытый,89629589585,"р.1 350,00",тн,"1,5",-,-,5/20,,,"56.551780, 38.812145",Тонары + Одиночки,24 х 7
17.03.2025,Агат,"ООО ""Агат""",Гравийный щебень сеяный,89629589585,"р.1 700,00",тн,"1,4",-,-,5/20,,,"56.551780, 38.812145",Тонары + Одиночки,24 х 7
17.03.2025,Агат,"ООО ""Агат""",Гравийный щебень мытый,89629589585,"р.1 700,00",тн,"1,4",-,-,5/20,,,"56.551780, 38.812145",Тонары + Одиночки,24 х 7
17.03.2025,ВРР,"ООО ""ВладРегионРесурс""",Сеяный песок 3кл,89262126862,"р.270,00",тн,"1,75",,,,-,,"56.598619, 38.450307",Тонары + Одиночки,24 х 7
17.03.2025,ВРР,"ООО ""ВладРегионРесурс""",Мытый песок,89262126862,"р.420,00",тн,"1,65",,,,-,,"56.598619, 38.450307",Тонары + Одиночки,24 х 7
17.03.2025,ВРР,"ООО ""ВладРегионРесурс""",Гравийный щебень мытый,89262126862,"р.1 800,00",тн,"1,4",-,-,5/20,,,"56.598619, 38.450307",Тонары + Одиночки,24 х 7
17.03.2025,ВРР,"ООО ""ВладРегионРесурс""",Гравийный щебень,89262126862,"р.1 700,00",тн,"1,4",-,-,5/20,,,"56.598619, 38.450307",Тонары + Одиночки,24 х 7
17.03.2025,ВРР,"ООО ""ВладРегионРесурс""",ЩПС С5,89262126862,"р.1 406,00",тн,"1,6",-,-,,,,"56.598619, 38.450307",Тонары + Одиночки,24 х 7
17.03.2025,ВРР,"ООО ""ВладРегионРесурс""",Гравийный щебень,89262126862,"р.1 700,00",тн,"1,37",-,-,20/40,,,"56.598619, 38.450307",Тонары + Одиночки,24 х 7
17.03.2025,ВРР,"ООО ""ВладРегионРесурс""",Отсев щебня,89262126862,"р.250,00",тн,"1,5",-,-,,,,"56.598619, 38.450307",Тонары + Одиночки,24 х 7
17.03.2025,ВРР,"ООО ""ВладРегионРесурс""",Гравий мытый,89262126862,"р.1 500,00",тн,"1,5",-,-,5/20,,,"56.598619, 38.450307",Тонары + Одиночки,24 х 7
17.03.2025,ВРР,"ООО ""ВладРегионРесурс""",Гравий сеяный,89262126862,"р.1 450,00",тн,"1,5",-,-,5/20,,,"56.598619, 38.450307",Тонары + Одиночки,24 х 7
17.03.2025,СТ,"ООО ""Современные технологии""",Гравий,89254176918,"р.1 450,00",тн,"1,5",-,-,5/20,,,"56.513898, 38.679269",Тонары + Одиночки,24 х 7
17.03.2025,СТ,"ООО ""Современные технологии""",Гравий,89254176918,"р.1 500,00",тн,"1,5",,,5/20,,,"56.513898, 38.679269",Тонары + Одиночки,24 х 7
17.03.2025,СТ,"ООО ""Современные технологии""",Сеяный песок,89254176918,"р.310,00",тн,"1,55",,,-,-,-,"56.513898, 38.679269",Тонары + Одиночки,24 х 7
17.03.2025,СТ,"ООО ""Современные технологии""",Мытый песок,89254176918,"р.380,00",тн,"1,63",,,-,-,-,"56.513898, 38.679269",Тонары + Одиночки,24 х 7
,Мякишево,"ООО ""ИБС Группа""",Мытый песок,89254176918,"р.400,00",тн,"1,63",,,-,-,-,"56.505470, 38.599438",Тонары + Одиночки,24 х 7
,Мякишево,"ООО ""ИБС Группа""",Гравий,89254176918,"р.1 400,00",тн,"1,5",,,5/20,,,"56.505470, 38.599438",Тонары + Одиночки,24 х 7
,Арбузово,"ООО ""НерудПром""",Песок мелкий 2 класса,89254176918,"р.350,00",тн,"1,6",,,,,,"56.267408, 37.227671",Тонары + Одиночки,24 х 7
17.03.2025,Игнатово,"ООО ""Веста""",Сеяный песок,89254176918,"р.500,00",тн,"1,6",,,,,,"56.179026, 37.549322",Тонары + Одиночки,24 х 7
17.03.2025,Игнатово,"ООО ""Веста""",Мытый песок,89254176918,"р.660,00",тн,"1,63",,,,,,"56.179026, 37.549322",Тонары + Одиночки,24 х 7
17.03.2025,Игнатово,"ООО ""Веста""",Отсев песка,89254176918,"р.155,00",тн,"1,62",,,,,,"56.179026, 37.549322",Тонары + Одиночки,24 х 7
17.03.2025,Игнатово,"ООО ""Веста""",Отсев щебня,89254176918,"р.500,00",тн,"1,58",,,,,,"56.179026, 37.549322",Тонары + Одиночки,24 х 7
17.03.2025,Игнатово,"ООО ""Веста""",Щебень гравийный,89254176918,"р.1 860,00",тн,"1,4",,,5/20,,,"56.179026, 37.549322",Тонары + Одиночки,24 х 7
17.03.2025,Игнатово,"ООО ""Веста""",Гравий,89254176918,"р.1 580,00",тн,"1,52",,,5/20,,,"56.179026, 37.549322",Тонары + Одиночки,24 х 7
17.03.2025,Игнатово,"ООО ""Веста""",Камень 300+,89254176918,"р.1 500,00",тн,2,,,300+,,,"56.179026, 37.549322",Тонары + Одиночки,24 х 7
,Бужарово,Рекультивация ,,,,,,,,,,,,,
,РИК,,Мытый песок средний,84957976555,"р.320,00",тн,,,,-,-,-,"56.506180, 38.697826",,
,РИК,,Мытый песок мелкий,84957976555,"р.270,00",тн,,,,-,-,-,"56.506180, 38.697826",,
,РИК,,Гравийный щебень ,84957976555,"р.1 700,00",тн,,-,-,5/20,,,"56.506180, 38.697826",,
,РИК,,Гравий,84957976555,"р.1 500,00",тн,,-,-,5/20,,,"56.506180, 38.697826",,
,РИК,,Сеяный песок,84957976555,"р.250,00",тн,,,,-,-,-,"56.506180, 38.697826",,
24.01.2025,Маломахово (Совьяки),"ООО ""Карьер Инвест""",Песок сеяный,89100943715,"р.400,00",тн,"1,55","2,7",3,-,-,-,"55.225687, 36.402993",Тонары + Одиночки,24 х 7
,Маломахово (Совьяки),"ООО ""Карьер Инвест""",Щебень гравийный,89100943715,"р.1 750,00",тн,"1,4",-,-,5/20,М800,,"55.225687, 36.402993",Тонары + Одиночки,24 х 7
,Маломахово (Совьяки),"ООО ""Карьер Инвест""",Щебень гравийный,89100943715,"р.1 650,00",тн,"1,4",-,-,20/40,М800,,"55.225687, 36.402993",Тонары + Одиночки,24 х 7
,Маломахово (Совьяки),"ООО ""Карьер Инвест""",Щебень гравийный,89100943715,"р.1 700,00",тн,"1,4",-,-,40/70,М800,,"55.225687, 36.402993",Тонары + Одиночки,24 х 7
,Мансурово,,,,,,,,,,,,,,
,Сычевский,,,,,,,,,,,,,,
,Беркино,,,,,,,,,,,,,,
,Орешки,"АО ""Объем""",Мытый песок,89857648229,"р.645,00",тн,"1,56","2,3",5,-,-,,"55.695645, 36.416060",Тонары + Одиночки,24 х 7
,Богаевский,,,,,,,,,,,,,,
,Глухово,,,,,,,,,,,,,,
,Болотское,,Карьерный песок,89105176806,"р.240,00",м3,"1,5","1,63","1,3",-,-,,"55.036427, 36.636876",Тонары + Одиночки,24 х 7
23.10.2024,Болотское,,Мытый песок,89105176806,"р.410,00",м3,"1,55",,,-,-,,"55.036427, 36.636876",Тонары + Одиночки,24 х 7
,Власово,,,,,,,,,,,,,,
,Пушкарка,,,,,,,,,,,,,,
07.04.2025,Потресово,,Сеяный,84843928015,"р.430,00",м3,1.55,1.79,,,,,"55.080556, 36.548283",Тонары + Одиночки,24х7
07.04.2025,Болотское,,Намывной ,89105176806,"р.430,00",м3,"1,55",,,,,,"55.036427, 36.636876",Тонары + Одиночки,8-17
,Мирный,,,,,,,,,,,,,,
,Болото,"ООО ""Кварц""",Мытый песок,89300745231,"р.485,00",м3,"1,5","2,3",2,-,-,-,"54.170974, 36.322850",Тонары + Одиночки,08-17 х 6
,Пятовский,,,,,,,,,,,,,,
05.03.2025,Карпово,,Известняковый щебень,89105856012,"р.1 100,00",тн,"1,29",,,5-20,М600,,"54.393027, 38.169960",Тонары + Одиночки,06-22 х 7
05.03.2025,Карпово,,Известняковый щебень,89105856012,"р.1 050,00",тн,"1,29",,,20-40,М600,,"54.393027, 38.169960",Тонары + Одиночки,06-22 х 7
05.03.2025,Карпово,,Известняковый щебень,89105856012,"р.970,00",тн,"1,29",,,40-70,М600,,"54.393027, 38.169960",Тонары + Одиночки,06-22 х 7
,Турдей,,,,,,,,,,,,,,
,Дубенский,,,,,,,,,,,,,,
,Хомяковский,,,,,,,,,,,,,,
,Пореченский,,,,,,,,,,,,,,
,Берниково,,,,,,,,,,,,,,
,Веневский,,,,,,,,,,,,,,
,Симбухово,,,,,,,,,,,,,,
,Корчевские дворики 2,,Мытый песок,89056408609,"р.300,00",м3,,"2,1","1,1",,,,"55.036427, 36.636876",,06-18 х 7
26.11.2024,Литвиново,"ООО ""Мирлан""",Карьерный песок,89255285331,"р.380,00",м3,"1,66","1,6",3,,,,"56.011575, 38.132466",Одиночки,24 х 7
05.12.2024,Коломенский,,Известняковый щебень,89152861325,"р.1 100,00",тн,,,,40-70,,,,,
21.03.2025,Петровское (щелково),"ООО ""ГК ГМ""",Карьерный песок,89031948704,"р.330,00",м3,"1,6","1,5",1,,,,"56.088995, 38.190649",Одиночки,24 х 7
17.01.2025,Луховицы,,Известняковый щебень,,,,,,,,,,,,
05.03.2025,Матыра,,Известняковый щебень,89859777847,"р.900,00",тн,"1,29",,,5-20,М400,,"54.961272, 38.838820",Тонары + Одиночки,08-19 х 7
05.03.2025,Матыра,,Известняковый щебень,89859777847,"р.1 000,00",тн,"1,27",,,20-40,М400,,"54.961272, 38.838820",Тонары + Одиночки,08-19 х 7
05.03.2025,Матыра,,Известняковый щебень,,"р.1 000,00",тн,"1,25",,,40-70,М400,,"54.961272, 38.838820",Тонары + Одиночки,08-19 х 7
24.01.2025,Пушкарка,,ЩПС С4,89651206590,р.920,тн,1.55,,,5-20,,,"54.383773, 38.275669",Тонары + Одиночки,24 х7
24.01.2025,Пушкарка,,ЩПС С4,89651206590,р.920,тн,1.55,,,20-40,,,"54.383773, 38.275669",Тонары + Одиночки,24 х7
24.01.2025,Пушкарка,,ЩПС С4,89651206590,р.920,тн,1.55,,,40-70,,,"54.383773, 38.275669",Тонары + Одиночки,24 х7
24.01.2025,Пушкарка,,ЩПС С5,89651206590,р.920,тн,1.55,,,5-20,,,"54.383773, 38.275669",Тонары + Одиночки,24 х7
